aboleth,adult black dragon,zombie,mimic,kobold,owlbear,Plantosaurus Hatchling,Young Plantosaurus,Adult Plantosaurus,Fire-tail Wyrmling,Fire-tail Young,Fire-tail Adult,Giant Chelonian,Giant Chelonian Young,Giant Chelonian Adult,Redcrest Hatchling,Young Redcrest,Redcrest Adult,Purple Dire Rat,Brown Dire Rat,Young Talonwing,Adult Talonwing,Dire Viper,Dire Constrictor,Thunder Mouse,Voltear,Sand Mouse,Sandstrike,Poison Bunny,Toxicthorn,Earthbreaker (male),Earthbreaker (female),Starwhisper,Faecharm,Flame Fox,Flame Mane,Young Lullabye,Jovialuff,Young Nightwing,Adult Nightwing,Feybloom Sprout,Young Feybloom,Adult Feybloom,Young Mushroom Crab,Adult Mushroom Crab,Purple Larve,Giant Purple Moth,Earthling,Earthling Trio,Royal Dire Kitten,Royal Dire Cat,Psionic Duckling,Psionic Duck,Pigkey,Swinkey,Firepup,Firehound,Aquasprite,Whirlstream Elemental,Torrential Elemental,Mindling,Mindmaster,Mindlord,Titanling,Titanfighter,Titanlord,Sproutling,Bellstalker,Vine Tyrant,Tendril Spawn,Tendril Horror,Pebblin,Boulderkin,Stoneward,Flamesteed,Blazecharger,Mindwanderer,Adult Mindwanderer,Magnolet,Magnocluster,Farileaf,Diovian,Triavian,Icepup,Icetusk,Sludge Horror,Toxic Mire,Shellspike,Shellguard,Ectospecter,Ectowraith,Ectophantasm,Terradrake,Young Dreamweaver,Dreamweaver,Snapclaw,Kingclaw,Volt Sphere,Electro Orb,Seedclust,Treantor,Bonecrier,Bonebreaker,Kickmaster,Fistmaster,Tonguelasher,Miasmorb,Toxflume,Rockhorn,Rhygore,Lifebringer,Tangler,Pouchbeast,Currentswimmer,Stormseeker,Swiftfin,Hornfish,Luminara,Stellara,Mimicry Mage,Bladewing,Frostwitch,Thunderbeast,Magmaduck,Clawmauler,Thunderhorn,Floundersnap,Stormwyrm,Morphling,Evoolve,Aquaflare,Voltstrike,Pyreclaw,Data Wraith,Shelldweller,Ancient Shelldweller,Trilobyte,Trilobyte Predator,Skyterror,Colosslumber,Frostwing,Thunderwing,Firewing,Young Starborne Serpent,Adult Starborne Serpent,Ancient Starborne Serpent,Mythra,Psionis,CR,HP,type
51,0,100,100,100,100,100,100,1,100,100,2,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,86,100,100,93,100,100,100,100,100,100,100,100,100,100,100,1,1,1,0,100,71,3,100,93,10.0,135,aberration
100,49,100,100,100,100,100,100,75,100,100,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,66,86,94,51,100,100,97,100,100,14.0,195,dragon
0,0,51,0,99,0,73,0,0,0,0,0,0,0,0,100,100,7,100,73,100,0,95,0,98,0,100,0,100,98,0,0,99,2,100,0,99,0,100,0,100,1,0,100,9,100,33,25,0,93,0,13,0,100,0,19,0,100,26,0,100,83,0,8,0,0,100,0,0,98,0,24,0,0,0,0,0,0,28,0,0,99,0,0,0,2,0,67,0,100,1,0,0,43,0,25,0,87,0,82,0,1,0,0,0,0,84,0,0,0,0,0,0,4,0,97,0,6,0,0,0,0,0,0,0,0,100,0,0,68,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,22,undead
0,0,100,52,100,0,100,0,0,86,0,0,93,0,0,100,100,100,100,100,100,100,100,72,100,97,100,100,100,100,0,0,100,100,100,41,100,100,100,100,100,100,91,100,100,100,100,100,97,100,98,100,47,100,65,100,0,100,100,48,100,100,100,100,100,0,100,100,13,100,100,100,71,0,100,46,100,0,100,97,100,100,95,100,0,100,41,100,96,100,98,0,0,100,49,100,99,100,99,100,0,100,1,0,0,99,100,39,36,0,100,6,0,100,3,100,25,100,0,92,13,0,1,0,0,0,100,0,38,100,3,8,1,27,100,0,100,0,0,0,0,0,0,8,0,0,0,0,2.0,58,monstrosity (shapechanger)
0,0,0,0,51,0,5,0,0,0,0,0,0,0,0,98,100,0,100,2,100,0,4,0,5,0,82,0,100,4,0,0,12,0,45,0,14,0,97,0,85,0,0,23,0,100,0,0,0,6,0,0,0,45,0,0,0,100,0,0,100,1,0,0,0,0,100,0,0,23,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,39,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,5,humanoid (kobold)
0,0,100,100,100,49,100,100,0,100,69,0,100,61,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,63,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,100,100,83,100,100,100,100,100,100,83,100,100,100,100,100,100,3,1,100,100,100,100,100,100,100,86,100,100,88,57,100,100,100,100,36,100,100,27,100,100,100,98,100,97,100,100,90,100,0,1,6,100,0,100,100,99,100,93,100,100,100,100,99,18,0,0,0,0,100,0,0,42,0,3.0,59,monstrosity
0,0,31,0,97,0,59,0,0,0,0,0,0,0,0,100,100,1,100,26,100,0,69,0,83,0,100,0,100,78,0,0,86,0,100,0,97,0,100,0,100,0,0,95,2,100,12,7,0,74,0,2,0,100,0,10,0,100,4,0,100,53,0,1,0,0,100,0,0,96,0,0,0,0,0,0,0,0,10,0,0,85,0,0,0,0,0,34,0,99,0,0,0,6,0,9,0,59,0,59,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,86,0,1,0,0,0,0,0,0,0,0,100,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,22,beast
0,0,100,100,100,1,100,44,0,100,3,0,100,1,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,1,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,12,100,100,97,100,100,100,100,100,39,100,100,77,100,100,100,100,4,100,100,100,1,100,100,100,100,100,100,2,100,100,100,100,100,100,0,0,100,96,100,100,100,100,100,14,100,42,7,0,100,100,96,89,0,100,83,0,100,51,100,83,100,17,100,49,29,46,0,0,0,100,0,97,100,58,67,24,83,100,8,100,1,0,0,0,0,0,82,0,0,0,0,2.0,75,beast
99,22,100,100,100,100,100,100,48,100,100,65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,44,64,10,100,100,45,100,99,7.0,171,beast
0,0,100,11,100,0,100,1,0,50,0,0,53,0,0,100,100,99,100,100,100,99,100,26,100,59,100,98,100,100,0,0,100,100,100,4,100,68,100,94,100,100,19,100,100,100,100,100,46,100,51,100,23,100,15,100,0,100,100,6,100,100,76,100,73,0,100,96,0,100,92,100,8,0,97,6,99,0,100,41,95,100,47,98,0,100,28,100,35,100,87,0,0,100,16,100,54,100,79,100,0,100,0,0,0,69,100,19,9,0,100,8,0,100,1,100,0,98,0,56,1,0,0,0,0,0,100,0,35,100,0,1,0,2,100,0,87,0,0,0,0,0,0,0,0,0,0,0,1.0,33,dragon
